trial_nr,Participant Public ID,Participant Private ID,t_response,choice,rt,gain,loss,score tally
1,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,916,0,1,99
2,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,365,1,0,100
3,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,385,0,0,100
4,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,277,0,1,99
5,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,313,1,0,100
6,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,338,1,0,101
7,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,467,1,0,102
8,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,364,0,0,102
9,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,525,0,0,102
10,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,307,1,1,102
11,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,518,1,1,102
12,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,293,1,0,103
13,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,240,0,1,102
14,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,348,1,0,103
15,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,369,1,0,104
16,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,305,1,1,104
17,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,681,0,0,104
18,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,562,0,1,103
19,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,378,1,0,104
20,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,373,1,0,105
21,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,277,1,0,106
22,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,426,0,0,106
23,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,309,0,0,106
24,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,359,1,0,107
25,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,444,0,0,107
26,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,472,0,0,107
27,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,211,0,1,106
28,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,307,0,1,105
29,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,434,0,0,105
30,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,393,0,0,105
31,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,298,0,0,105
32,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,271,0,0,105
33,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,421,0,1,104
34,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,242,1,1,104
35,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,244,0,1,103
36,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,204,0,1,102
37,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,305,0,0,102
38,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,173,1,1,102
39,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,341,0,1,101
40,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,405,0,0,101
